Code,Name,Structure type,Category,Description
G01a01,Accounting,Descriptor,Knowledge,"Knowledge of concepts, principles, methods and practices for budgeting, storing, tracking, controlling, analyzing, and reporting on financial transactions. This descriptor is measured by knowledge level on a scale of 1-3."
G01a02,Business Management,Descriptor,Knowledge,"Knowledge of concepts, principles and practices of managing business operations such as strategic planning, resource allocation, production management, and coordination of people and activities. This descriptor is measured by knowledge level on a scale of 1-3."
G01a03,Clerical,Descriptor,Knowledge,"Knowledge of administrative concepts, principles, methods, procedures and practices for the functioning of the daily office operations. This descriptor is measured by knowledge level on a scale of 1-3."
G01a04,Finance,Descriptor,Knowledge,"Knowledge of concepts, principles, methods and practices related to financial operations, systems and institutions. This descriptor is measured by knowledge level on a scale of 1-3."
G01a05,Human Resources and Labour relations,Descriptor,Knowledge,"Knowledge of concepts, principles, procedures and practices for personnel recruitment, selection, hiring, training, deploying, compensation and benefits, labour relations and negotiation, and personnel information systems. This descriptor is measured by knowledge level on a scale of 1-3."
G01a06,Sale and Marketing,Descriptor,Knowledge,"Knowledge of concepts, principles, techniques, practices and tools for determining consumer behaviour and needs, developing business opportunities and promoting and selling products and services. This descriptor is measured by knowledge level on a scale of 1-3."
G01a07,Client Service,Descriptor,Knowledge,"Knowledge of concepts, principles, and practices of providing services and support to satisfy clients' requirements and needs. This descriptor is measured by knowledge level on a scale of 1-3."
G02,Communication,Sub-Category,Knowledge,Organized set of principles and practices relating to communication domains.
G02a,Communication,Similarity Group,Knowledge,
G02a01,Communications and Media,Descriptor,Knowledge,"Knowledge of concepts, principles, methods and techniques of creation, production, distribution or dissemination of written, oral, audiovisual or visual communications. This descriptor is measured by knowledge level on a scale of 1-3."
G03,Education,Sub-Category,Knowledge,Organized set of principles and practices relating to education domains.
G03a,Education,Similarity Group,Knowledge,
G03a01,Teaching,Descriptor,Knowledge,"Knowledge of the concepts, principles, methods and practices of instructing individuals and groups, designing educational curriculum and measuring learning outcome. This descriptor is measured by knowledge level on a scale of 1-3."
G03a02,"Training, Mentoring and Coaching",Descriptor,Knowledge,"Knowledge of concepts and principles of learning and readiness to learn, and of methods for guiding, advising, directing and supporting career or personal goals for the individuals or groups to gain experience and improve competencies. This descriptor is measured by knowledge level on a scale of 1-3."
G04,Health and Wellbeing,Sub-Category,Knowledge,Organized set of principles and practices relating to health and wellbeing domains.
G04a,Health and Wellbeing,Similarity Group,Knowledge,
G04a01,Hospitality,Descriptor,Knowledge,"Knowledge of concepts, principles, techniques and tools or equipment for managing facilities and providing food, accommodation or tourism services with the focus on client experience. This descriptor is measured by knowledge level on a scale of 1-3."
G04a02,Mental Health,Descriptor,Knowledge,"Knowledge of concepts, principles, methods, and procedures for assessment, diagnosis, treatment, rehabilitation, counseling or guidance to address neurological and cognitive processes, behaviours, and disorders or to maintain balanced mental health and well-being. This descriptor is measured by knowledge level on a scale of 1-3."
G04a03,Personal Services,Descriptor,Knowledge,"Knowledge of concepts, principles, techniques and tools for providing services of personal nature related to body care, childcare and other in-home services. This descriptor is measured by knowledge level on a scale of 1-3."
G04a04,Physical Health,Descriptor,Knowledge,"Knowledge of concepts and principles of the human anatomy, organic systems, biomedical sciences, genetics, and of procedures, techniques and tools needed to diagnose and treat injuries and diseases, to restore and maintain physical health by the prevention and treatment. This descriptor is measured by knowledge level on a scale of 1-3."
G04a05,"Recreation, Leisure and Fitness",Descriptor,Knowledge,"Knowledge of concepts, principles, practices, and equipment for physical fitness and for managing and providing recreational, leisure and fitness program or services. This descriptor is measured by knowledge level on a scale of 1-3."
G04a06,Veterinarian and Animal Care,Descriptor,Knowledge,"Knowledge of concepts, principles, practices, techniques and tools for the prevention, care, diagnostics, and treatment of diseases, disorders and injuries, and the maintenance of wellbeing of animals. This descriptor is measured by knowledge level on a scale of 1-3."
G05,"Law, Government and Safety",Sub-Category,Knowledge,"Organized set of principles and practices relating to law, government and safety."
G05a,"Law, Government and Safety",Similarity Group,Knowledge,
G05a01,Military,Descriptor,Knowledge,"Knowledge of organisations, structures, practices and strategies related to defence, security, intelligence and peacekeeping missions. This descriptor is measured by knowledge level on a scale of 1-3."
G05a02,Law,Descriptor,Knowledge,"Knowledge of concepts, principles, functioning and processes of the provincial-territorial, federal or international legal systems for the establishment, implementation and application of laws, legal codes and documents, and court procedures. This descriptor is measured by knowledge level on a scale of 1-3."
G05a03,Public Affairs and Government Relations,Descriptor,Knowledge,"Knowledge of concepts, principles, processes, and functioning of governments and political systems for the establishment and implementation of policies, rules, regulations, and executive orders. This descriptor is measured by knowledge level on a scale of 1-3."
G05a04,Public Safety and Security,Descriptor,Knowledge,"Knowledge of concepts, principles, regulations, procedures and practices of public safety and security operations and systems for the protection of people, data and properties. This descriptor is measured by knowledge level on a scale of 1-3."
G06,"Logistics, Design and Evaluation",Sub-Category,Knowledge,"Organized set of principles and practices relating to logistics, design and evaluation domains."
G06a,"Logistics, Design and Evaluation",Similarity Group,Knowledge,
G06a01,"Manufacturing, Processing and Production",Descriptor,Knowledge,"Knowledge of concepts, principles, methods and techniques of production and transformation, including manual and mechanical processes. This descriptor is measured by knowledge level on a scale of 1-3."
G06a02,Logistics,Descriptor,Knowledge,"Knowledge of concepts, principles, infrastructures and processes for planning, organizing and coordinating the transportation of people and animals or for the acquisition, transportation, and storage of goods and resources. This descriptor is measured by knowledge level on a scale of 1-3."
G06a03,Performance Measurement,Descriptor,Knowledge,"Knowledge of concepts, principles, methods, practices and strategies of monitoring the development, delivery and quality of products, programs or services. This descriptor is measured by knowledge level on a scale of 1-3."
G06a04,Technical Design,Descriptor,Knowledge,"Knowledge of technical design concepts, principles, methods, techniques, and tools involved in the creation and production of technical plans, blueprints, drawings or models. This descriptor is measured by knowledge level on a scale of 1-3."
G07,Natural Resources,Sub-Category,Knowledge,Organized set of principles and practices relating to natural resources domains.
G07a,Natural Resources,Similarity Group,Knowledge,
G07a01,Agriculture and Horticulture,Descriptor,Knowledge,"Knowledge of concepts, principles, techniques, materials, and equipment for planting, growing, harvesting, storing or preserving plants and plant-sourced food products. This descriptor is measured by knowledge level on a scale of 1-3."
G07a02,Forestry,Descriptor,Knowledge,"Knowledge of concepts, principles, techniques, materials, and equipment for sourcing, processing, and managing harvested forestry resources, and monitoring and preserving sustainable forestry resources. This descriptor is measured by knowledge level on a scale of 1-3."
G07a03,Geological Resources,Descriptor,Knowledge,"Knowledge of concepts, principles, techniques, materials, and equipment for sourcing, processing, managing, monitoring or preserving mineral and metals resources. This descriptor is measured by knowledge level on a scale of 1-3."
G07a04,"Livestock, Farm Animals & Wildlife",Descriptor,Knowledge,"Knowledge of concepts, principles, techniques, materials, and equipment for sourcing, raising, fishing, hunting, managing, monitoring, or preserving stored sustainable animal resources and  wildlife conservation. This descriptor is measured by knowledge level on a scale of 1-3."
G07a05,Water Resources,Descriptor,Knowledge,"Knowledge of concepts, principles, techniques, materials, and equipment for sourcing, processing, managing, monitoring or preserving water resources such as rivers, lakes, oceans, and underground aquifers. This descriptor is measured by knowledge level on a scale of 1-3."
G08,Physical Sciences,Sub-Category,Knowledge,Organized set of principles and practices relating to physical sciences domains.
G08a,Physical Sciences,Similarity Group,Knowledge,
G08a01,Biology,Descriptor,Knowledge,"Knowledge of concepts and principles of living organisms including their structure, function, growth, origin, evolution, distribution and classification and their interdependencies and interactions with each other and the environment, as well as  safe and ethical handling methods and techniques. This descriptor is measured by knowledge level on a scale of 1-3."
G08a02,Chemistry,Descriptor,Knowledge,"Knowledge of the composition, structure, and properties of chemical substances including their interactions, transformations and use, as well as the production techniques, risk factors, and disposal methods. This descriptor is measured by knowledge level on a scale of 1-3."
G08a03,Geoscience,Descriptor,Knowledge,"Knowledge of concepts, principles, methods, and techniques for understanding material quality, physical characteristics, composition, structure, and natural systems, and the evolution of earth, ocean, and atmosphere phenomena. This descriptor is measured by knowledge level on a scale of 1-3."
G08a05,Physics,Descriptor,Knowledge,"Knowledge of concepts, principles, fundamental properties, and laws that govern space, time, energy and matter and of equipment and methods required to study and apply the interactions of objects including atoms, particles and celestial bodies. This descriptor is measured by knowledge level on a scale of 1-3."
G09,Socioeconomic Systems,Sub-Category,Knowledge,Organized set of principles and practices relating to socioeconomics domains.
G09a,Socioeconomic systems,Similarity Group,Knowledge,
G09a01,Arts,Descriptor,Knowledge,"Knowledge of concepts, principles and techniques of artistic expression required to create, compose or produce visual, applied, performing or literary art. This descriptor is measured by knowledge level on a scale of 1-3."
G09a02,Economics,Descriptor,Knowledge,"Knowledge of concepts and principles of the production, distribution, and consumption of goods and services and the methods of analysis including simulation and forecasting techniques. This descriptor is measured by knowledge level on a scale of 1-3."
G09a03,Humanities,Descriptor,Knowledge,"Knowledge of concepts, principles, methods for understanding human social interaction and structures, and events throughout time and their effects on civilizations, cultures and environment. This descriptor is measured by knowledge level on a scale of 1-3."
G09a04,"Library, Conservation, and Heritage",Descriptor,Knowledge,"Knowledge of concepts, principles, techniques, and tools in the classification, storage, retrieval, display and management of documentation and records in various media, museum artifacts or works of fine art. This descriptor is measured by knowledge level on a scale of 1-3."
G09a05,Theology and Philosophy,Descriptor,Knowledge,"Knowledge of concepts and principles of religious and philosophical systems, and of fundamental questioning of existence, reason, values, ethics, ways of thinking, customs, practices and their impact on individuals, human culture and society. This descriptor is measured by knowledge level on a scale of 1-3."
G10,"Technology, Electrical, Material and Mechanical",Sub-Category,Knowledge,"Organized set of principles and practices relating to technology, electrical, material and mechanical."
G10a,"The Technology, Electrical, Material and Mechanical",Similarity Group,Knowledge,
G10a01,Building and Construction,Descriptor,Knowledge,"Knowledge of concepts, principles, methods, materials and tools involved in the construction, maintenance and repair of houses, buildings, or infrastructures such as highways and roads. This descriptor is measured by knowledge level on a scale of 1-3."
G10a02,"Computer, Technology and Information Systems",Descriptor,Knowledge,"Knowledge of concepts, principles, processes, techniques, and tools for technological and digital systems, devices and products, such as hardware or software development, assembling, programming, use, troubleshooting or maintenance. This descriptor is measured by knowledge level on a scale of 1-3."
G10a03,Electrical and Electronics,Descriptor,Knowledge,"Knowledge of concepts, principles, techniques, and tools applied for the development, use, repair and maintenance of electronic and electrical products and devices. This descriptor is measured by knowledge level on a scale of 1-3."
G10a04,Mechanics and Machinery,Descriptor,Knowledge,"Knowledge of parts, standards, and functioning of machines, vehicles, equipment or tools, and techniques used for their repair or maintenance. This descriptor is measured by knowledge level on a scale of 1-3."
G10a05,Telecommunications,Descriptor,Knowledge,"Knowledge of concepts, principles, processes, techniques and tools of the transmission of information via wire, radio, optical fiber or other electromagnetic system for the use, repair, maintenance, control, or operation of telecommunications systems. This descriptor is measured by knowledge level on a scale of 1-3."
G10a06,"Vehicle, Machinery and Equipment Operations",Descriptor,Knowledge,"Knowledge of the parts and functioning of vehicles, machinery or equipment, and of techniques and practices for their safe and efficient use. This descriptor is measured by knowledge level on a scale of 1-3."
G11,Foundational Knowledge,Sub-Category,Knowledge,Organized set of principles and practices that are fundamental to the acquisition of new knowledge.
G11a,Foundational Knowledge,Similarity Group,Knowledge,
G11a01,Languages,Descriptor,Knowledge,"Knowledge of vocabulary, grammar structure and rules, spelling, and pronunciation of words in one or both official languages, Indigenous languages, and non-official languages. This descriptor is measured by knowledge level on a scale of 1-3."
G11a02,Mathematics,Descriptor,Knowledge,"Knowledge of concepts, principles, methods, and applications of arithmetic, algebra, geometry, trigonometry, differential and integral calculus, probability, and statistics. This descriptor is measured by knowledge level on a scale of 1-3."
J,Work Context,Category,Work Context,"Physical, environmental, and social factors that influence the nature of work."
J01,Structural Job Characteristics,Sub-Category,Work Context,The components that define the structural aspect of the job.
J01a,Criticality of Position,Similarity Group,Work Context,
J01a01,Consequence of Error,Descriptor,Work Context,"The impact on outcomes of a mistake, which was not readily correctable, made by the worker. This descriptor is measured by degree of consequence of error on a scale of 1-5."
J01a02,Freedom to Make Decisions,Descriptor,Work Context,The job allows the worker to make decisions without supervision. This descriptor is measured by degree of freedom to make decisions on a scale of 1-5.
J01a03,Frequency of Decision Making,Descriptor,Work Context,"The job requires the worker to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization."
J01a04,Impact of Decisions,Descriptor,Work Context,The impact on the organization or colleagues of the decisions made by the worker (a decision should be understood as a conclusion or resolution reached after consideration). This descriptor is measured by degree of impact on a scale of 1-5.
J01b,Various Challenge Types,Similarity Group,Work Context,
J01b01,Automation,Descriptor,Work Context,"The job requires operation, manipulation or handling of automated systems, processes or machines. This descriptor is measured by degree of automation on a scale of 1-3."
J01b02,Precision,Descriptor,Work Context,The job requires the worker to be exact or accurate. This descriptor is measured by importance on a scale of 1-5.
J01b03,Structured versus Unstructured Work,Descriptor,Work Context,"The extent to which the job is structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals. This descriptor is measured by degree of freedom to determine tasks and priorities on a scale of 1-5."
J01b04,Tasks Repetition,Descriptor,Work Context,The job requires repetitive tasks in the performance of work. This descriptor is measured by importance on a scale of 1-5.
J01c,Pace and Scheduling,Similarity Group,Work Context,
J01c01,Pace Determined by Speed of Equipment,Descriptor,Work Context,"The job requires maintaining pace with the speed of the equipment, machines, or computers. This does not refer to always being occupied while in the position. This descriptor is measured by importance on a scale of 1-5."
J01c02,Time Pressure,Descriptor,Work Context,"The job requires working under pressure, meeting strict deadlines or dealing with competing priorities. This descriptor is measured by frequency on a scale of 1-5 and importance on a scale of 1-5."
J01c03,Type of Work Schedules,Descriptor,Work Context,"The type of schedule usually required for the job. This descriptor is measured by regular, irregular, or seasonal on a scale of 1-3."
J01c04,Work Week Duration,Descriptor,Work Context,Number of hours typically worked over a period of 7 days. This descriptor is measured by number of hours on a scale of 1-3.
J01d,Level of Competition,Similarity Group,Work Context,
J01d01,Competition,Descriptor,Work Context,The job requires to compete against co-workers or to be aware of competitive pressure between them or between businesses within the same industry. This descriptor is measured by degree of competition on a scale of 1-5.
J02,Physical Work Environment,Sub-Category,Work Context,The physical surroundings in which the worker performs their job.
J02a,Exposure to Job Hazards,Similarity Group,Work Context,
J02a01,Dangerous Locations,Descriptor,Work Context,"The job requires working in locations that are inherently treacherous and are potential sources of injury. Such work locations include among others, construction sites, underground sites, erected support structures, and marine environments."
J02a02,"Fire, Steam, Hot Surfaces",Descriptor,Work Context,"The job requires being exposed to fire (rather than being exposed to flammable substances that may ignite), to emissions of steam or to intensely hot surfaces that are potential sources of injury."
J02a03,"Flying Particles, Falling Objects",Descriptor,Work Context,"The job requires being exposed to flying particles and falling objects or materials in the work environment that pose the risk of bodily injury. Flying particles refer to particles such as wood chips, metal particles, and rock chips generated by the handling, crushing, grinding, rapid impact, or explosion of materials."
J02a04,Hazardous Conditions,Descriptor,Work Context,"The job requires being exposed to conditions that involves risks of accidents such as high voltage electricity, flammable material, or explosives. This descriptor is measured by frequency on a scale of 1-5."
J02a05,"Hazardous Equipment, Machinery, Tools",Descriptor,Work Context,"The job requires working near or with equipment, instruments, machinery, or power/hand tools that may be a potential source of accident or injury."
J02a06,High Places,Descriptor,Work Context,"The job requires being exposed to elevated places such as poles, scaffolding, catwalks, or ladders longer than two meters in length. This descriptor is measured by frequency on a scale of 1-5."
J02a07,Radiation,Descriptor,Work Context,"The job requires being exposed to ionizing radiation such as X-rays and radioactive substances or non-ionizing radiation such as radio frequencies and infrared, ultraviolet or visible light that may affect health adversely. This descriptor is measured by frequency on a scale of 1-5."
J02a08,"Cramped Work Space, Awkward Positions",Descriptor,Work Context,The job requires working in confined space that requires getting into uncomfortable positions.
J02a09,Skin Injury,Descriptor,Work Context,"The job requires being exposed to the risks of minor burns, cuts, bites, or stings. This descriptor is measured by frequency on a scale of 1-5."
J02b,Work Setting,Similarity Group,Work Context,
J02b01,In an Enclosed Vehicle or Equipment,Descriptor,Work Context,"The job requires working in a closed vehicle or equipment (e.g., car, truck or heavy equipment). This descriptor is measured by frequency on a scale of 1-5 and duration on a scale of 1-5."
J02b02,In an Open Vehicle or Equipment,Descriptor,Work Context,"The job requires working in an open vehicle or equipment (e.g., tractor). This descriptor is measured by frequency on a scale of 1-5 and duration on a scale of 1-5."
J02b03,"Indoors, Environmentally Controlled",Descriptor,Work Context,The job requires working inside a building with controlled temperature and humidity conditions. This descriptor is measured by frequency on a scale of 1-5 and duration on a scale of 1-5.
J02b04,"Indoors, Not Environmentally Controlled",Descriptor,Work Context,"The job requires working inside a building where the temperature and humidity are not controlled (e.g., warehouse without heat). This descriptor is measured by frequency on a scale of 1-5 and in duration on a scale of 1-5."
J02b05,"Outside, Exposed to Weather",Descriptor,Work Context,The job requires working outdoors and being subject to variations in weather conditions and seasonal weather patterns. This descriptor is measured by frequency on a scale of 1-5 and duration on a scale of 1-5.
J02b06,"Outside, Under Cover",Descriptor,Work Context,"The job requires working outdoors, protected from variations in weather conditions and seasonal weather patterns by a covered space (e.g., structure with roof but no walls). This descriptor is measured by frequency on a scale of 1-5 and duration on a scale of 1-5."
J02b07,Physical Proximity,Descriptor,Work Context,The job requires performing tasks while being physically close to other people. This descriptor is measured by physical distance from others on a scale of 1-5.
J02c,Environmental Conditions,Similarity Group,Work Context,
J02c01,Biological Agents,Descriptor,Work Context,"The job requires being exposed to bacteria, viruses and fungi that may cause illness due to direct or indirect contact. This descriptor is measured by frequency on a scale of 1-5."
J02c02,Dangerous Chemical Substances,Descriptor,Work Context,"The job requires being exposed to contaminants, such as pollutants, gases or dust, through inhalation, ingestion, or contact with skin. This descriptor is measured by frequency on a scale of 1-5."
J02c03,Vibration,Descriptor,Work Context,The job requires being exposed to oscillating or quivering motion of the body while performing tasks. This descriptor is measured by frequency on a scale of 1-5.
J02c04,Sound and Noise,Descriptor,Work Context,"The job requires being exposed to sound and noise levels that are distracting or uncomfortable, regardless of the equipment used by the workers. This descriptor is measured by frequency on a scale of 1-5 and duration on a scale of 1-5."
J02c05,Extremely Bright or Inadequate Lighting,Descriptor,Work Context,The job requires working in extremely bright or inadequate lighting conditions. This descriptor is measured by frequency on a scale of 1-5.
J02c06,Extreme Temperatures,Descriptor,Work Context,The job requires being exposed to very hot (above 32.2 °C) or very cold (below 0 °C) temperatures. This descriptor is measured by frequency on a scale of 1-5.
J02c07,Odours,Descriptor,Work Context,"The job requires being exposed to noxious, intense or prolonged odours."
J02d,Safety Equipment Required,Similarity Group,Work Context,
J02d01,Specialized Safety Equipment,Descriptor,Work Context,"The job requires wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection. This descriptor is measured by frequency on a scale of 1-5."
J02d02,Standard Safety Equipment,Descriptor,Work Context,"The job requires wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats, or life jackets. This descriptor is measured by frequency on a scale of 1-5."
J03,Physical Demands,Sub-Category,Work Context,The physical activities the job requires the worker to do.
J03a,Body Positioning,Similarity Group,Work Context,
J03a01,Bending or Twisting the Body,Descriptor,Work Context,The job requires leaning forwards or backwards or moving the body torsionally. This descriptor is measured by duration on a scale of 1-5.
J03a02,Climbing,Descriptor,Work Context,"The job requires going up and down ladders, scaffolds, or poles. This descriptor is measured by duration on a scale of 1-5."
J03a03,Crawling,Descriptor,Work Context,"The job requires moving in a prone position, with the body resting on or close to the ground, on the hands and knees."
J03a04,Crouching,Descriptor,Work Context,The job requires powering the body stance by bending the legs.
J03a05,Handling Material Manually,Descriptor,Work Context,"The job requires using your hands to handle, control, or feel objects, tools, or controls (excluding mouse and keyboard). This descriptor is measured by duration on a scale of 1-5."
J03a06,Keeping or Regaining Balance,Descriptor,Work Context,The job requires maintaining your body in a steady position or recovering balance. This descriptor is measured by duration on a scale of 1-5.
J03a07,Kneeling,Descriptor,Work Context,The job requires positioning the body so that one or both knees rest on the floor.
J03a08,Making Repetitive Motions,Descriptor,Work Context,The job requires repeating the same movement. This descriptor is measured by duration on a scale of 1-5.
J03a09,Sitting,Descriptor,Work Context,The job requires being in a position where the body weight is supported by the buttocks. This descriptor is measured by duration on a scale of 1-5.
J03a10,Standing,Descriptor,Work Context,The job requires maintaining an upright position supported by one’s feet. This descriptor is measured by duration on a scale of 1-5.
J03a11,Walking and Running,Descriptor,Work Context,The job requires lifting and setting down each foot in turn in order to move forward at a certain pace. This descriptor is measured by duration on a scale of 1-5.
J03a12,Reaching,Descriptor,Work Context,The job requires extending one or both arms to grasp or touch a person or an object.
J03a13,Stooping,Descriptor,Work Context,"The job requires standing or walking with an inclination of the head, body, or shoulders."
J03a14,Keyboarding,Descriptor,Work Context,The job requires using a panel of keys for typing on an electronic device or computer.
J03b,Body Exertion,Similarity Group,Work Context,
J03b01,Carrying,Descriptor,Work Context,The job requires holding things while moving.
J03b02,Lifting,Descriptor,Work Context,The job requires raising an object using the hands and arms.
J03b03,Pulling,Descriptor,Work Context,The job requires taking hold of an object to move it toward oneself.
J03b04,Pushing,Descriptor,Work Context,The job requires exerting force in order to move an object forward.
J03c,Speaking and Seeing,Similarity Group,Work Context,
J03c01,Speaking,Descriptor,Work Context,The job requires conveying information in spoken language.
J03c02,Visual Acuity,Descriptor,Work Context,The job requires distinguishing fine details in things or in the environment.
J04,Interpersonal Relations,Sub-Category,Work Context,The human interactions required to perform the job.
J04a,Job interactions,Similarity Group,Work Context,
J04a01,Conflict Situations,Descriptor,Work Context,"The job requires being confronted with disputes or disagreements with or between customers, employees, or other parties. This descriptor is measured by frequency on a scale of 1-5."
J04a02,Contact with Others,Descriptor,Work Context,"The job requires being in contact with others (face-to-face, by telephone, or otherwise) to perform tasks. This descriptor is measured by frequency on a scale of 1-5 and in duration on a scale of 1-5."
J04a03,Coordinating or Leading Others,Descriptor,Work Context,The job requires providing guidance or direction to co-workers or subordinates in accomplishing work activities. This descriptor is measured by importance on a scale of 1-5.
J04a04,Deal With External Customers,Descriptor,Work Context,"The job requires working with members outside of the organization, including clients and the public. This descriptor is measured by importance on a scale of 1-5."
J04a05,Work with Work Group or Team,Descriptor,Work Context,The job requires working with others in a group or team. This descriptor is measured by frequency on a scale of 1-5 and in importance on a scale of 1-5.
J04a06,Deal with Physically Aggressive People,Descriptor,Work Context,The job requires dealing with individuals that have violent behaviour. This descriptor is measured by frequency on a scale of 1-5.
J04a07,Dealing With Unpleasant or Angry People,Descriptor,Work Context,"The job requires dealing with disagreeable, furious, or discourteous individuals. This descriptor is measured by frequency on a scale of 1-5."
J04b,Communication Methods,Similarity Group,Work Context,
J04b01,Electronic Mail,Descriptor,Work Context,The job requires the use of an electronic communication device to send and receive messages. This descriptor is measured by frequency on a scale of 1-5.
J04b02,Face-to-Face Discussions,Descriptor,Work Context,The job requires having in-person discussions with individuals or teams. This descriptor is measured by frequency on a scale of 1-5.
J04b03,Written Communications,Descriptor,Work Context,The job requires producing administrative or creative written communications. This descriptor is measured by frequency on a scale of 1-5.
J04b04,Public Speaking,Descriptor,Work Context,The job requires delivering speeches to an audience (a minimum of five persons). This descriptor is measured by frequency on a scale of 1-5.
J04b05,Telephone,Descriptor,Work Context,The job requires communicating with others by using a telephone or hand-held radios. This descriptor is measured by frequency on a scale of 1-5.
J04b06,Videoconference,Descriptor,Work Context,The job requires using videoconference software to participate in meetings and conversations.
J04c,Interpersonal Responsibilities,Similarity Group,Work Context,
J04c01,Responsibility for Outcomes and Results of Other Workers,Descriptor,Work Context,The job requires assuming the responsibility for the end product and effects of other workers’ work. This descriptor is measured by degree of responsibility on a scale of 1-5.
J04c02,Responsible for Others' Health and Safety,Descriptor,Work Context,"The job requires ensuring the health, safety and security of others. This descriptor is measured by degree of responsibility on a scale of 1-5."
K,Work Activities,Category,Work Activities,General types of work-related activities.
K01,Information-Oriented Activities,Sub-Category,Work Activities,Information and data management and processing activities that are necessary to meet the requirements of the job.
K01a,Looking for and Receiving Job-Related Information,Similarity Group,Work Activities,
K01a01,Getting Information,Descriptor,Work Activities,"Observing, receiving, or obtaining information from all relevant sources. This descriptor is measured by complexity level on a scale of 1-5."
K01a02,"Monitoring Processes, Materials, or Surroundings",Descriptor,Work Activities,"Tracking and reviewing information from materials, events, or the environment to detect or assess problems and progress. This descriptor is measured by complexity level on a scale of 1-5."
K01a03,Document Use,Descriptor,Work Activities,"Reading, understanding, retaining, and using relevant information from texts, numbers, symbols, graphics, and images in electronic or paper format."
K01a04,Information Synthesis,Descriptor,Work Activities,Gather information from multiple sources into a coherent whole and summarize it.
K01a05,Comparing,Descriptor,Work Activities,"Determining the functional or structural characteristics of data, people, or things by finding similarities and differences from a model or established standards."
K01a06,Analyzing Data or Information,Descriptor,Work Activities,"Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts. This descriptor is measured by complexity level on a scale of 1-5."
K01a07,Developing Technical Instructions,Descriptor,Work Activities,"Providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used. This descriptor is measured by complexity level on a scale of 1-5."
K01a08,Clerical Activities,Descriptor,Work Activities,"Entering, transcribing, recording, storing, or maintaining all types of information in written or electronic form. This descriptor is measured by complexity level on a scale of 1-5."
K01b,Identifying and Evaluating Job-Relevant Information,Similarity Group,Work Activities,
K01b01,"Identifying Objects, Actions, and Events",Descriptor,Work Activities,"Identifying information by categorizing, recognizing differences or similarities, measuring, investigating, and detecting changes in circumstances or events. This descriptor is measured by complexity level on a scale of 1-5."
K01b02,Estimating the Quantifiable Characteristics,Descriptor,Work Activities,"Estimating cost, resources or materials needed to perform a work activity. This descriptor is measured by complexity level on a scale of 1-5."
K01b03,"Inspecting Equipment, Structures, or Material",Descriptor,Work Activities,"Inspecting equipment, structures, or material to identify the cause of errors, problems or defects. This descriptor is measured by complexity level on a scale of 1-5."
K01b04,Processing Information,Descriptor,Work Activities,"Compiling, categorizing, tabulating, auditing, or verifying information or data. This descriptor is measured by complexity level on a scale of 1-5."
K02,Physically-Oriented Activities,Sub-Category,Work Activities,"The physical activities that are performed, equipment and vehicles that are operated, or any other technical activities accomplished to meet the requirements of the job."
K02a,Performing Physical and Manual Work Activities,Similarity Group,Work Activities,
K02a01,Handling and Moving Objects,Descriptor,Work Activities,"Using hands and arms to install, fabricate and, repair objects; or to move or manipulate objects and materials (excluding construction occupations). This descriptor is measured by complexity level on a scale of 1-5."
K02a02,"Operating Vehicles, Mechanized Devices, or Equipment",Descriptor,Work Activities,"Manoeuvring, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or watercraft. This descriptor is measured by complexity level on a scale of 1-5."
K02a03,Constructing,Descriptor,Work Activities,"Joining building materials into a structure, applying interior or exterior finishes or installing building systems according to specifications and plans."
K02a04,Controlling Machines and Processes,Descriptor,Work Activities,Using mechanisms or physical activity to control the operation of machines or processes (excluding computers or vehicles). This descriptor is measured by complexity level on a scale of 1-5.
K02a05,Manipulating - Operating,Descriptor,Work Activities,"Using hand-held and power tools or special devices to move, remove, guide, install and place objects or materials."
K02a06,Sorting,Descriptor,Work Activities,"Handling, retrieving, sorting, separating, or arranging materials or information, according to established patterns or procedures."
K02a07,Catering,Descriptor,Work Activities,Preparing or cooking food and beverage by combining ingredients.
K02a08,Performing Janitorial Services,Descriptor,Work Activities,"Cleaning and maintaining commercial, public, or private places."
K02a09,Performing General Physical Activities,Descriptor,Work Activities,"Performing physical activities that require use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling materials. This descriptor is measured by complexity level on a scale of 1-5."
K02b,Performing Complex and Technical Activities,Similarity Group,Work Activities,
K02b01,Debugging and Reprogramming,Descriptor,Work Activities,"Modifying systems through upgrading, amending procedures, or correcting faults."
K02b02,Artistic Designing,Descriptor,Work Activities,"Creating and designing artistic drawing and visual representation, and arranging displays, exhibits or decorations."
K02b03,Electronic Maintenance,Descriptor,Work Activities,"Servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate on electrical or electronic principles. This descriptor is measured by complexity level on a scale of 1-5."
